Boro,tot_occp_units_cen_2010,renter_occp_hu_cen_2010,owner_occp_hu_cen_2010,tot_occp_units_acs_13_17,renter_occp_hu_acs_13_17,owner_occp_hu_acs_13_17,pct_owner_units_2010,pct_owner_units_2017,pct_renter_units_2010,pct_renter_units_2017,pct_change_owner,pct_change_renter
Bronx,483449,390348,93101,495356,397698,97658,19.2576673,19.71471023,80.7423327,80.28528977,2.373303674,-0.566051178
Brooklyn,916856,662615,254241,944650,660898,283752,27.72965438,30.03779177,72.27034562,69.96220823,8.323714961,-3.193754466
Manhattan,763846,589885,173961,758345,575892,182453,22.77435504,24.05936612,77.22564496,75.94063388,5.642359914,-1.663969372
Queens,780117,444663,335454,777904,431863,346041,43.00047301,44.48376663,56.99952699,55.51623337,3.449482121,-2.602291118
Staten Island,165516,59381,106135,166150,50722,115428,64.12371009,69.47216371,35.87628991,30.52783629,8.340836182,-14.90804547
NYC,3109784,2146892,962892,3142405,2117073,1025332,30.96330806,32.62889411,69.03669194,67.37110589,5.379225131,-2.412609878
